gene_id,log2FoldChange,padj,product,keyword_found,regulation
BHE81_RS13640,3.862570125050952,3.6736701920814415e-08,metal ABC transporter permease,transporter,UP
BHE81_RS13680,4.178309288416688,0.0003987001914295,heme/hemin ABC transporter substrate-binding protein,transporter,UP
BHE81_RS13685,3.843678297953407,7.888869771741357e-05,FecCD family ABC transporter permease,transporter,UP
BHE81_RS13690,4.397134015584138,0.0025948784735983,heme ABC transporter ATP-binding protein,transporter,UP
BHE81_RS13855,2.264054202824456,0.0158576799865963,SDR family oxidoreductase,reductase,UP
BHE81_RS13955,-1.1838231636619827,0.0350950562771954,aliphatic sulfonate ABC transporter substrate-binding protein,transporter,DOWN
BHE81_RS13990,2.446229706344734,0.0376782855814626,LLM class flavin-dependent oxidoreductase,reductase,UP
BHE81_RS14015,-2.142192502471287,0.0009827605274545,lactaldehyde reductase,reductase,DOWN
BHE81_RS14115,-3.454234252598724,0.0049860385394005,energy-coupling factor ABC transporter transmembrane protein,transporter,DOWN
BHE81_RS14125,-4.0095275728417406,3.603772135120001e-06,cobalt ECF transporter S component CbiM,transporter,DOWN
BHE81_RS14140,-4.19974379995193,9.270179185916682e-06,cobalt-precorrin-6A reductase,reductase,DOWN
BHE81_RS15955,-1.4092817318724915,0.0034690279746967,serine/threonine transporter SstT,transporter,DOWN
BHE81_RS15975,-2.4249162795214905,0.0008184732976945,MFS transporter,transporter,DOWN
BHE81_RS16070,-2.747989204477764,0.0231755391908881,MFS transporter,transporter,DOWN
BHE81_RS16575,2.7881918324686024,0.0112025515492494,peroxide/acid stress response protein YhcN,stress,UP
BHE81_RS16580,2.6132751493595885,0.0003201628856465,DUF1471 family stress response protein YhcN-B,stress,UP
BHE81_RS16660,2.007261699264069,0.011627772947632,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,reductase,UP
BHE81_RS17130,-6.520099616031177,2.965180917514753e-17,nitrite reductase large subunit NirB,reductase,DOWN
BHE81_RS17135,-4.166339097729213,0.0106197815590942,nitrite reductase small subunit NirD,reductase,DOWN
BHE81_RS17265,-2.063686806958141,1.6473403136906418e-06,Fe(2+) transporter permease subunit FeoB,transporter,DOWN
BHE81_RS17635,-2.972825587175485,0.0013989509470757,nickel ABC transporter substrate-binding protein,transporter,DOWN
BHE81_RS17640,-2.08866971669698,0.0436708418894627,nickel ABC transporter permease subunit NikB,transporter,DOWN
BHE81_RS17645,-3.2956154406979143,0.0108924346696951,ABC transporter permease subunit,transporter,DOWN
BHE81_RS17650,-5.386843473420292,0.014075638087322,ABC transporter permease subunit,transporter,DOWN
BHE81_RS17690,-1.5108548613179786,0.0001561419326963,universal stress protein UspA,stress,DOWN
BHE81_RS18625,1.8249393488071215,0.0301772142121871,MDR family MFS transporter,transporter,UP
BHE81_RS18835,-1.5447201484873725,0.0082882525561494,ABC transporter permease,transporter,DOWN
BHE81_RS18965,4.459325827827775,2.0696974255752156e-05,iron-enterobactin ABC transporter ATP-binding protein,transporter,UP
BHE81_RS18980,4.65112138801532,1.1793291400752e-06,enterobactin transporter EntS,transporter,UP
BHE81_RS19185,3.38730963243067,0.0036742005246345,sugar ABC transporter ATP-binding protein,transporter,UP
BHE81_RS19190,4.021187027044035,0.009882209149738,sugar ABC transporter substrate-binding protein,transporter,UP
BHE81_RS19245,-1.7941972460911468,0.0007197341383899,universal stress protein UspG,stress,DOWN
BHE81_RS19260,-3.063656983706118,6.008857925890281e-06,anaerobic C4-dicarboxylate transporter DcuC,transporter,DOWN
BHE81_RS19395,2.124030442932207,0.0001305445880211,amino acid ABC transporter substrate-binding protein,transporter,UP
