gene_id,product,log2FoldChange,padj,functional_category
BHE81_RS03925,ATP-independent periplasmic protein-refolding chaperone Spy,4.407152436073443,8.886486488096127e-30,Unknown
BHE81_RS03930,excinuclease Cho,1.9212618610599792,0.0147997355437536,DNA_Repair
BHE81_RS03985,L-cystine transporter,-1.8460416707142864,0.0002420260062684,Transport
BHE81_RS04035,outer membrane protein OmpW,-5.052688765185585,1.969192130688325e-24,Membrane
BHE81_RS04040,PKHD-type hydroxylase YbiX,-3.893416954935661,3.121575250930718e-07,Unknown
BHE81_RS04155,YmiA family putative membrane protein,-2.650248222085257,0.032014096398943,Membrane
BHE81_RS04195,osmotically-inducible lipoprotein OsmB,3.5264311182209305,4.926822540487891e-05,Membrane
BHE81_RS04320,LysR substrate-binding domain-containing protein,-1.6564923679466892,0.0208492069480299,Unknown
BHE81_RS04580,MetQ/NlpA family ABC transporter substrate-binding protein,5.520266989566724,0.0357399485513732,Transport
BHE81_RS04585,methionine ABC transporter ATP-binding protein,3.0263410473539,0.0071518372441782,Transport
BHE81_RS04635,universal stress protein UspF,-3.734350801628288,3.608887639283444e-11,Stress_Response
BHE81_RS04900,aspartate aminotransferase family protein,3.3616292911747614,5.311919724087009e-07,Metabolism
BHE81_RS04905,arginine N-succinyltransferase,3.2892824912925587,4.792160116196109e-10,Metabolism
BHE81_RS04910,succinylglutamate-semialdehyde dehydrogenase,1.6651296901827235,0.0003710405837854,Metabolism
BHE81_RS04915,N-succinylarginine dihydrolase,1.953212256098592,0.0010483606113993,Unknown
BHE81_RS04920,succinylglutamate desuccinylase,2.340013968387532,4.481408508144199e-06,Unknown
BHE81_RS04925,amino acid permease,1.8925389370168195,3.4708766281165217e-06,Transport
BHE81_RS04965,selenium metabolism membrane protein YedE/FdhT,-2.879452530182897,5.932780522214165e-07,Metabolism
BHE81_RS04980,putative selenium delivery protein YdfZ,-3.2119808206853406,0.0183727399245265,Unknown
BHE81_RS05085,class II fumarate hydratase,1.5013140964278875,0.0125814111002246,Unknown
BHE81_RS05140,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,-2.186145390199349,1.020113390908081e-09,Unknown
BHE81_RS05145,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,-1.7958140149767745,0.0005100322204725,Unknown
BHE81_RS05155,universal stress protein UspE,-1.6343346470965057,0.0048463425252366,Stress_Response
BHE81_RS05215,3-oxoadipyl-CoA thiolase,1.487478963945855,0.0024325921995374,Unknown
BHE81_RS05275,N-acetylmuramic acid 6-phosphate etherase,-3.811205506392388,1.7876844641566624e-20,Unknown
BHE81_RS05380,dethiobiotin synthase,-2.9938053703709406,9.860872708167704e-05,Metabolism
BHE81_RS05385,voltage-gated ClC-type chloride channel ClcB,-2.254451720709262,0.0125366180278574,Transport
BHE81_RS05395,DmsC/YnfH family molybdoenzyme membrane anchor subunit,-2.199102540339191,0.0019558348713982,Membrane
BHE81_RS05400,DMSO/selenate family reductase complex B subunit,-3.791277102717985,0.0008074530053801,Energy
BHE81_RS05405,selenate/tellurate reductase subunit YnfE,-2.248895237765994,0.0014616736083475,Energy
BHE81_RS05595,LacI family DNA-binding transcriptional regulator,-2.1912369717434625,0.012669411381478,Transcription
BHE81_RS05600,GNAT family N-acetyltransferase,1.6974087190641367,0.0309795215194773,Metabolism
BHE81_RS05690,PhzF family phenazine biosynthesis protein,-1.269047013779922,0.002514785853121,Unknown
BHE81_RS05705,dihydrodipicolinate synthase family protein,-2.233824173467284,0.0001948897147393,Metabolism
BHE81_RS05710,iron-containing alcohol dehydrogenase,-2.2715152166170656,0.0069850291437368,Metabolism
BHE81_RS05835,methionine ABC transporter ATP-binding protein,6.684734336431295,0.0053349135484982,Transport
BHE81_RS05840,MetQ/NlpA family ABC transporter substrate-binding protein,4.793476584705702,0.00066303802949,Transport
BHE81_RS05845,isopenicillin N synthase family dioxygenase,2.6337861266959397,0.0025948784735983,Metabolism
BHE81_RS05860,VOC family protein,2.713130789082932,0.000458727197373,Unknown
BHE81_RS05865,AraC family transcriptional regulator,4.531899370561901,0.0011864510497744,Transcription
BHE81_RS05975,siderophore esterase IroE,2.2928113100283083,0.0442219554113786,Unknown
BHE81_RS05990,sugar porter family MFS transporter,1.0554466008521073,0.0261948412488249,Transport
BHE81_RS06175,aldo/keto reductase,-2.235056415741457,0.0416140276461587,Energy
BHE81_RS06380,TetR/AcrR family transcriptional regulator,-1.8917428602428727,0.0141259530006016,Transcription
BHE81_RS06385,iron-containing redox enzyme family protein,-2.119238204619881,0.0021185980931025,Unknown
BHE81_RS06665,diaminobutyrate--2-oxoglutarate transaminase,1.541487955764541,0.0028536596271115,Unknown
BHE81_RS06715,pyrroloquinoline-quinone synthase PqqC,3.887225525608753,0.0189653020433781,Metabolism
BHE81_RS06735,glutamine amidotransferase,1.6714819108703407,0.0319178274112478,Metabolism
BHE81_RS06760,catalase/peroxidase HPI,-2.852367121367488,2.3933417980603555e-10,Stress_Response
BHE81_RS06905,stationary-phase-induced ribosome-associated protein,1.586389193992218,0.0396631038321683,Unknown
BHE81_RS06945,TIGR04028 family ABC transporter substrate-binding protein,3.178933836050611,1.1720909841627005e-05,Transport
BHE81_RS06950,ABC transporter permease,4.716730325922702,0.00066303802949,Transport
BHE81_RS06955,ABC transporter permease,3.907977057604105,0.0001883305729173,Transport
BHE81_RS06960,dipeptide ABC transporter ATP-binding protein,6.020889189930385,1.1738707104658524e-06,Transport
BHE81_RS06965,putative FMN-dependent luciferase-like monooxygenase,7.034636772868892,0.0025757395979753,Unknown
BHE81_RS06970,alkylhydroperoxidase domain protein,3.9086349287085977,4.983084990638896e-09,Stress_Response
BHE81_RS06975,MFS transporter AraJ,1.3983880488652607,0.0416140276461587,Transport
BHE81_RS06985,polyphosphate kinase 2,4.289529723340262,0.0036395951954329,Metabolism
BHE81_RS07000,formate dehydrogenase-N subunit gamma,-8.36713777416077,0.0006247157610396,Metabolism
BHE81_RS07005,formate dehydrogenase subunit beta,-7.534311762386423,8.111808883895392e-13,Metabolism
BHE81_RS07010,formate dehydrogenase-N subunit alpha,-7.397890206401103,1.7496585316359468e-22,Metabolism
BHE81_RS07160,transporter substrate-binding domain-containing protein,7.141681017980544,0.0021595650003577,Transport
BHE81_RS07165,amino acid ABC transporter ATP-binding protein,6.797756315681043,0.0039946880461608,Transport
BHE81_RS07170,amino acid ABC transporter permease,6.773203605683686,0.0042266250998957,Transport
BHE81_RS07175,GNAT family N-acetyltransferase,6.119396602426919,0.0137720411273329,Metabolism
BHE81_RS28645,NtaA/DmoA family FMN-dependent monooxygenase,5.379743130744387,8.296580993637069e-09,Unknown
BHE81_RS07190,M20 peptidase aminoacylase family protein,7.605954686459964,0.0008357374890598,Unknown
BHE81_RS07195,MsnO8 family LLM class oxidoreductase,4.638689210607786,1.6473403136906418e-06,Energy
BHE81_RS07215,YgdI/YgdR family lipoprotein,1.358478971434141,0.0376782855814626,Membrane
BHE81_RS07220,YncE family protein,3.662415249440246,1.5224169534961158e-12,Unknown
BHE81_RS07230,amidohydrolase,-3.2906902474036848,5.486685044946016e-06,Unknown
BHE81_RS07235,DUF406 domain-containing protein,-1.872936833225047,0.0238348793796703,Unknown
BHE81_RS07280,alpha/beta fold hydrolase,1.3656913630254623,0.0205663335432382,Unknown
BHE81_RS07360,DUF2554 family protein,3.5106127948975603,0.0069134005944892,Unknown
BHE81_RS07450,LysR substrate-binding domain-containing protein,3.376838918184825,0.0001519382113882,Unknown
BHE81_RS07470,cytochrome b561,1.7214257211499555,0.0343706502279756,Energy
BHE81_RS07585,pyridoxamine 5'-phosphate oxidase,2.593190187692233,0.0001192256901593,Energy
BHE81_RS07590,C-type lysozyme inhibitor,2.9516437656939933,0.0017067870562987,Unknown
BHE81_RS07605,GGDEF domain-containing protein,-4.582530797287888,0.0314107825576489,Unknown
BHE81_RS07665,Grx4 family monothiol glutaredoxin,1.2192528578581825,0.0088385939139224,Unknown
BHE81_RS07680,superoxide dismutase [Fe],-3.043884676001792,1.323333567078847e-12,Stress_Response
BHE81_RS28125,hypothetical protein,4.476296766016222,3.362373937563765e-06,Unknown
BHE81_RS07830,ABC transporter substrate-binding protein,1.59519596476875,0.0025948784735983,Transport
BHE81_RS07855,anti-virulence regulator CigR family protein,3.044323928522965,2.5610930636271944e-12,Transcription
BHE81_RS07990,hypothetical protein,3.388555137751088,0.008857894518497,Unknown
BHE81_RS08205,multidrug efflux MFS transporter MdtM,-3.4207613101653065,0.0306726268646018,Transport
BHE81_RS08215,DUF1062 domain-containing protein,-6.706113603080806,2.4389891461350097e-07,Unknown
BHE81_RS08275,ABC transporter substrate-binding protein,3.529031680772789,0.0426081286034272,Transport
BHE81_RS08285,acyl-CoA dehydrogenase family protein,3.797980208449157,0.0009685553732818,Metabolism
BHE81_RS08290,LLM class flavin-dependent oxidoreductase,2.7708591554148057,0.0029343604249357,Energy
BHE81_RS08305,rhodanese homology domain-containing protein,3.335770151455445,0.0004588337838514,Unknown
BHE81_RS08355,ABC transporter substrate-binding protein,3.9399545087978938,0.0004588337838514,Transport
BHE81_RS08360,FecCD family ABC transporter permease,2.419553302968737,0.0035442217672899,Transport
BHE81_RS08410,major outer membrane lipoprotein,-1.105621059315038,0.0024532802334906,Membrane
BHE81_RS08425,cysteine desulfurase SufS,2.2471068444343207,2.648415643036299e-06,Unknown
BHE81_RS08430,Fe-S cluster assembly protein SufD,2.0111060826561107,6.816070255082388e-05,Unknown
BHE81_RS08440,Fe-S cluster assembly protein SufB,2.414467981021062,1.822523896831903e-07,Unknown
BHE81_RS08490,ABC transporter substrate-binding protein,2.573684137694079,0.000918591502833,Transport
BHE81_RS08495,FecCD family ABC transporter permease,3.3115105388499337,0.0044493445720516,Transport
BHE81_RS08530,GlsB/YeaQ/YmgE family stress response membrane protein,2.098625997027208,0.0090484637228755,Stress_Response
BHE81_RS08670,hypothetical protein,2.295128165578848,0.0033703628915734,Unknown
BHE81_RS08690,fructosamine kinase family protein,-1.6516918674585528,1.2987842430329875e-08,Metabolism
BHE81_RS08780,histone-like nucleoid-structuring protein H-NS,1.8890990160571155,9.866848400819352e-05,Unknown
BHE81_RS08790,two-component system response regulator RssB,1.757259075138596,0.0153550488166126,Transcription
BHE81_RS08795,patatin-like phospholipase RssA,1.3745534214224695,0.0483887749351549,Unknown
BHE81_RS08825,DMT family transporter,-4.88799832423817,0.0053726906246098,Transport
BHE81_RS08830,respiratory nitrate reductase subunit gamma,-8.888523589004604,4.1399301597938333e-23,Energy
BHE81_RS08835,nitrate reductase molybdenum cofactor assembly chaperone,-7.761838045586218,1.0197895260069072e-26,Energy
BHE81_RS08840,nitrate reductase subunit beta,-7.71620431715136,1.811037621758789e-34,Energy
BHE81_RS08845,nitrate reductase subunit alpha,-8.090212998730815,3.0414129421314813e-71,Energy
