Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description
BHE81_RS13680,14.219650583990168,4.178309288416688,0.9916331781998484,4.213563422718208,2.513729578579122e-05,0.0003987001914295,,,,,,,
BHE81_RS13685,20.551641504026765,3.843678297953407,0.83423010321366,4.607455764478663,4.076258853376667e-06,7.888869771741357e-05,,,,,,,
BHE81_RS13690,12.337755678396055,4.397134015584138,1.1929511317830717,3.6859297069544334,0.0002278692449646,0.0025948784735983,,,,,,,
BHE81_RS13850,52.24884127393114,-1.587851344368002,0.46008548185115,-3.451209409997672,0.0005580803708005,0.005450326584277,,,,,,,
BHE81_RS13855,16.158866598525773,2.264054202824456,0.7331621893612589,3.088067327635829,0.0020146282229949,0.0158576799865963,,,,,,,
BHE81_RS13885,36.07424983187797,-1.21479152750397,0.4306116880461478,-2.821083498722364,0.0047861743334422,0.031502136525418,,,,,,,
BHE81_RS13945,219.18070121263983,-1.300581083132225,0.3042973323911336,-4.274046942549274,1.919565939990504e-05,0.0003151225175416,,,,,,,
BHE81_RS13950,383.00714114516353,-2.166130591071107,0.3027265372601637,-7.155403720716863,8.342702561106284e-13,5.4996659539542824e-11,,,,,,,
BHE81_RS13955,29.902305592957024,-1.1838231636619827,0.4262544471449873,-2.777268768903457,0.0054817829074832,0.0350950562771954,,,,,,,
BHE81_RS13990,8.432676653439037,2.446229706344734,0.8907542834613076,2.746245234812831,0.0060281684682359,0.0376782855814626,,,,,,,
BHE81_RS14000,9.562305664382365,3.2587193498534286,0.9461893312085232,3.444045755294259,0.0005730787105753,0.0055838777827194,,,,,,,
BHE81_RS14005,72.72411076520154,4.315956281375204,0.5157710524230664,8.367969200867437,5.861970956267622e-17,7.274016313086205e-15,,,,,,,
BHE81_RS14010,53.16791145983918,-1.3241584835541151,0.3531079213674876,-3.7500107004850585,0.0001768270246633,0.0021561653672099,,,,,,,
BHE81_RS14015,19.87664953411212,-2.142192502471287,0.5397469955330674,-3.9688826805892736,7.22104203628643e-05,0.0009827605274545,,,,,,,
BHE81_RS14065,180.5228994986369,3.198497753780863,0.5450454506771426,5.868313825584964,4.402493693074372e-09,1.688556444643707e-07,,,,,,,
BHE81_RS14100,19.543919115379968,-2.647411533797388,0.7199255104712355,-3.6773409127626175,0.0002356779691112,0.0026729176120434,,,,,,,
BHE81_RS14105,33.676161778818546,-1.8734267581685309,0.6206042840315986,-3.0187138670688647,0.0025385015925533,0.0191526140266837,,,,,,,
BHE81_RS14115,16.511014775566448,-3.454234252598724,0.9918225564890646,-3.482713949182914,0.0004963584229789,0.0049860385394005,,,,,,,
BHE81_RS14125,53.255752485908914,-4.0095275728417406,0.7591637376203882,-5.281505654379217,1.2812652767670068e-07,3.603772135120001e-06,,,,,,,
BHE81_RS14130,33.36570130488271,-3.46240673607136,0.8092989855079047,-4.278278853764289,1.883439819605155e-05,0.0003115523815566,,,,,,,
BHE81_RS14135,21.59490406212568,-2.9505385342405166,0.9408161036401542,-3.136147991966181,0.001711827977087,0.0138890826599219,,,,,,,
BHE81_RS14140,33.157719788066096,-4.19974379995193,0.8260348073295498,-5.084221345985517,3.691372607807544e-07,9.270179185916682e-06,,,,,,,
BHE81_RS14145,40.47638407849937,-4.929167587074634,0.677956822623439,-7.270621701247287,3.578367570304378e-13,2.695916567698959e-11,,,,,,,
BHE81_RS28770,40.6240612239533,-5.239301562918378,0.7152371455677817,-7.325264907430425,2.384272573865771e-13,1.934470382526863e-11,,,,,,,
BHE81_RS28775,51.78117401655828,-5.441827136896311,0.9141484221832066,-5.952892336563813,2.6344461363932612e-09,1.0387596494806698e-07,,,,,,,
BHE81_RS14155,39.12249449524834,-6.427869661957287,1.051440162097158,-6.113395601264203,9.753318583940191e-10,3.995072922878027e-08,,,,,,,
BHE81_RS28780,8.493554434066233,-5.571835317901789,1.5067496788848571,-3.6979170435433537,0.0002173758999243,0.0025264708589006,,,,,,,
BHE81_RS28785,14.044385893162952,-5.69721521329245,1.1479276445805642,-4.963043829625804,6.939691365526213e-07,1.591225971258429e-05,,,,,,,
BHE81_RS14165,38.11021596370863,-4.502433407645669,0.779806810265175,-5.77378056766984,7.751236800839397e-09,2.7481065598942364e-07,,,,,,,
BHE81_RS14170,71.38384464875551,-6.2841544827281615,0.6570574935247986,-9.564086163931687,1.1319705352100893e-21,2.170810767296076e-19,,,,,,,
BHE81_RS14175,60.36392654814755,-5.589347415538845,0.6164741250424625,-9.06663749294239,1.2274647470650585e-19,2.0714695071469926e-17,,,,,,,
BHE81_RS14180,64.9958125002001,-4.9247322110779965,0.4590687538792902,-10.727657174360704,7.548572508859053e-27,2.895220674079668e-24,,,,,,,
BHE81_RS14185,114.13291476826556,-4.364579269302667,0.439890690813201,-9.921963252357344,3.341185076807273e-23,7.831366577249935e-21,,,,,,,
BHE81_RS14300,44.36188966682735,-1.210570990048206,0.4169665496760946,-2.90328082909431,0.003692753408457,0.025751614264926,,,,,,,
BHE81_RS14370,31.99556939734882,1.61691785765151,0.4657474352772004,3.4716623972157,0.0005172463730001,0.0051468453954892,,,,,,,
BHE81_RS14425,62.74778084010947,-1.6716565816633036,0.4530810013391307,-3.689531401057512,0.0002246674975242,0.0025757395979753,,,,,,,
BHE81_RS14430,20.8542617843638,-1.4225648399011186,0.5138845781330642,-2.7682575045728703,0.0056356907866516,0.0358087039591617,,,,,,,
BHE81_RS14535,84.57773576082262,1.964581086250388,0.5824742982245884,3.3728202123914,0.000744025171819,0.0069948692706545,,,,,,,
BHE81_RS14580,44.13829638634835,-1.3971760265550044,0.5029784651473002,-2.7778048631681145,0.005472747388552,0.0350950562771954,,,,,,,
BHE81_RS14630,16.180904030775757,-1.7978772879316187,0.6349952425518468,-2.831324028045492,0.0046355733400495,0.0307507608831272,,,,,,,
BHE81_RS14635,135.38644030634657,-4.214123029290352,0.4382289551942763,-9.616258760040491,6.8269155138127e-22,1.4401378276387892e-19,,,,,,,
BHE81_RS14640,9.187910831684372,-2.6845565516310987,0.8464337584655188,-3.1716085574113597,0.0015159719611254,0.0126902494126747,,,,,,,
BHE81_RS14650,15.00179957319609,-1.787818064860714,0.6483479784556289,-2.7574977084363157,0.0058245621562094,0.0367321789791447,,,,,,,
BHE81_RS14705,36.531550131649794,-2.420621045914654,0.5107323069551574,-4.739510332419966,2.1423531129874814e-06,4.483762079002622e-05,,,,,,,
BHE81_RS29035,17.3154973325588,-1.978248476672501,0.5453300821201512,-3.627616633546797,0.0002860495686948,0.0031675672711909,,,,,,,
BHE81_RS14745,21.139145352725404,-1.406359389143084,0.5025619010409721,-2.798380430808719,0.0051359581149615,0.03343920877627,,,,,,,
BHE81_RS14770,19.93795956169034,-1.703507479563735,0.5983183076456839,-2.847159209061892,0.0044111295431391,0.0297707384306173,,,,,,,
BHE81_RS14890,30.890490987836007,3.558680896316474,0.6214608575814226,5.726315427436591,1.0263531240009004e-08,3.5786643224461146e-07,,,,,,,
BHE81_RS14960,51.26692687599111,-1.517493117149202,0.4615489525217548,-3.287827019990205,0.0010096385392228,0.009082441358169,,,,,,,
BHE81_RS14985,55.3911221260663,-1.3678436462131411,0.3884299190008207,-3.5214682991766426,0.0004291639773456,0.004416202001028,,,,,,,
BHE81_RS14990,82.23203914172424,1.273104319266019,0.3636075333153504,3.501314474037253,0.0004629691906569,0.0046953534023598,,,,,,,
BHE81_RS15015,71.11362673829832,2.053310417636653,0.3961876058829247,5.182672014841916,2.187294808221349e-07,5.661470426923846e-06,,,,,,,
BHE81_RS15045,110.06279702118336,1.2388437643631325,0.3802435623323583,3.25802692559539,0.0011218976091609,0.0099022719938281,,,,,,,
BHE81_RS15085,12.63478395855596,-2.570864748248516,0.751999116844228,-3.418707137632257,0.0006291940720046,0.006046856013184,,,,,,,
