Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BHE81_RS04950,5.584022921749418,0.09401156821889055,1.0378199369580745,0.09058562557050627,0.9278218541014902,0.9717605446123657
BHE81_RS04955,11.375471553496729,-0.24473673941068605,0.638232541472507,-0.38346013953791563,0.701378619699148,0.8670125660399766
BHE81_RS04960,6.107980715228655,-1.3829440814271756,1.1324135938550637,-1.2212358531649499,0.22199673299825662,0.4803098546254588
BHE81_RS04965,24.888979167195043,-2.879452530182897,0.5110581555962158,-5.634295233628825,1.7577567321089608e-08,5.932780522214165e-07
BHE81_RS04970,1.8584122211517637,-1.5147196043353344,1.4981501937540644,-1.011059912851428,0.3119877552729471,
BHE81_RS04975,1.9774746346750343,-3.153816975832811,2.0279464141544628,-1.555177668315152,0.11990376131747084,
BHE81_RS04980,5.29063717904171,-3.2119808206853406,1.057689758276098,-3.036789186576286,0.0023911262187252813,0.01837273992452659
BHE81_RS04985,13.735329245250883,-0.3212821439291984,0.6030497339498141,-0.5327622679225584,0.5941981561982322,0.8014456588875772
BHE81_RS04990,11.502870020563257,-0.1066762857500696,0.6926908844099138,-0.15400272784150246,0.8776075847394595,0.947205525713937
BHE81_RS04995,2.522936559689663,0.1452074103500404,1.3093961046056568,0.11089647345008077,0.911698442133326,
BHE81_RS05000,1.1956632409834496,0.014613355892342646,2.258122912171522,0.00647146167889051,0.9948365566812872,
BHE81_RS05005,14.526594931426308,-0.33079288821083597,0.6455594298538964,-0.5124127584747717,0.608362163596768,0.8122084638954647
BHE81_RS05010,3.204230668376733,1.5166007096026903,1.4391692066510378,1.0538029180959454,0.29197315723455686,
BHE81_RS05015,2.3266475573301566,-2.1969848449431453,1.5681655214897219,-1.4009904023754196,0.16121694315979818,
BHE81_RS05020,3.296577638513534,-1.2448881340575755,1.1956809974823284,-1.0411540675806168,0.29780404953315165,
BHE81_RS28595,0.36164725952549465,-3.0392710372322465,4.361154629283924,-0.6968959588876759,0.48586790695984183,
BHE81_RS05025,2.4343647665160564,-1.4207031073221075,1.4368958112754002,-0.988730773778984,0.3227948820613592,
BHE81_RS05030,8.576014852808946,-0.3108434570166209,0.769705667567646,-0.40384717186625396,0.6863251058642614,0.8590719149462719
BHE81_RS05035,0.0,,,,,
BHE81_RS05040,0.0,,,,,
BHE81_RS05045,1.1298251861644524,2.955180093640125,2.531608189257547,1.1673133726537677,0.2430838401854185,
BHE81_RS05055,2.755450160226753,2.2723276462721707,1.6798974797352475,1.352658524513228,0.1761647463250846,
BHE81_RS05060,8.901743648274001,0.3992032148170978,0.7647553382745996,0.5220012137708759,0.6016694854858853,0.8066548138504932
BHE81_RS05065,45.632371535966115,-0.6211333107068354,0.4585846278381573,-1.3544573302314102,0.17559051778993273,0.42115770014538156
BHE81_RS05070,106.32907199942747,0.05325948663103302,0.311060607514643,0.1712190015205505,0.8640515670595901,0.9408206481419912
BHE81_RS05075,82.23181421970162,-0.04139225499785605,0.3317406212535283,-0.12477294713396758,0.9007033050516905,0.9588095011646897
BHE81_RS05080,203.68120498292217,0.3527491090942579,0.2730261762879496,1.2919973970635978,0.1963580460134502,0.4470774938644071
BHE81_RS05085,30.713188402660283,1.5013140964278875,0.47272949424995714,3.1758418179722527,0.001494023930128593,0.01258141110022462
BHE81_RS05090,14.370541347732773,0.3777996666408031,0.5846498695064358,0.6461981543923774,0.51815103464372,0.7505551992190789
BHE81_RS05095,9.467718800231243,-0.4578770191426864,0.7752090497649967,-0.5906497341349292,0.5547551341024586,0.7734672540575919
BHE81_RS05100,0.4568767858554245,-2.13054982810779,3.582197595418072,-0.5947605544800042,0.5520035381148048,
BHE81_RS05105,20.408657515631592,-0.5578330456305004,0.5807186831825886,-0.9605908364672116,0.3367579379601645,0.6103258697908456
BHE81_RS05110,7.897083926061241,-0.420912795967493,0.9368266753641402,-0.4492963394791103,0.6532178980526309,0.8399653495532001
BHE81_RS05115,38.09251935440361,-0.24434732596684264,0.45863032399838466,-0.5327762103399496,0.5941885036405931,0.8014456588875772
BHE81_RS05120,13.51512357701828,0.4361085354092172,0.6419209484328258,0.6793804384697597,0.4968968411042157,0.7358398640290229
BHE81_RS05130,71.36283992196068,0.6835081351390889,0.38684700685938533,1.7668693902743227,0.07725010436890507,0.2482240596591093
BHE81_RS05140,145.0640720893346,-2.186145390199349,0.3261066510273702,-6.703774312213785,2.0310387493784978e-11,1.0201133909080813e-09
BHE81_RS05145,152.03836689763583,-1.7958140149767743,0.4330692033962604,-4.146713737419919,3.3728132143126424e-05,0.000510032220472582
BHE81_RS05150,4.872222721826769,1.4842445922745702,1.0004694496794146,1.4835481410753462,0.13792883592325494,0.36351180814409967
BHE81_RS05155,164.06349461780775,-1.6343346470965057,0.46816304862527375,-3.490951820942744,0.0004813030381782758,0.004846342525236625
BHE81_RS05160,85.99469478436237,-0.3849308682904478,0.39170394306438533,-0.9827086888098437,0.32575083313060926,0.5980603851079376
BHE81_RS05165,4.712392624253183,0.654321483724265,1.0524890688879662,0.6216895767056325,0.5341460067804947,0.7604311513432779
BHE81_RS05170,5.410333041937807,-0.36587674989068114,0.9605847989525492,-0.380889589643355,0.7032851775454146,0.8670125660399766
BHE81_RS05175,5.09153068566347,0.37395068831094724,0.9812741235890936,0.38108687401558167,0.7031387868810801,0.8670125660399766
BHE81_RS05180,11.769423478621391,-1.240134196696069,0.6496360976439224,-1.9089674991795325,0.056266284448494505,0.19881696322294667
BHE81_RS05185,8.733075031548884,-0.8262195299843421,0.7371339893920931,-1.120853931407663,0.2623500432154703,0.530362646464229
BHE81_RS05190,5.338678383404759,-0.2385470860245063,0.8494470229341399,-0.28082632534342467,0.7788436110935201,0.9034757204299041
BHE81_RS05195,27.797822795774696,0.2817502804486924,0.4891524959002135,0.575996816555484,0.5646173333514644,0.781023124396665
BHE81_RS05200,30.618417423834103,-0.03924783942838234,0.41023651501711683,-0.0956712481499721,0.9237816767791006,0.970235223881261
